Z(2)_Re,Z(2)_Im,Z(3)_Re,Z(3)_Im,Z(4)_Re,Z(4)_Im,Z(5)_Re,Z(5)_Im,Z(6)_Re,Z(6)_Im,Z(7)_Re,Z(7)_Im,Z(8)_Re,Z(8)_Im,Z(9)_Re,Z(9)_Im,Z(10)_Re,Z(10)_Im,
0.05076,0.02676,0.04360,0.00179,0.05111,0.02694,0.04370,0.00244,0.05141,0.02636,0.04329,0.00275,0.05089,0.02696,0.04370,0.00267,0.09529,0.02804,
0.05080,0.02678,0.04360,0.00180,0.05111,0.02694,0.04370,0.00242,0.05141,0.02633,0.04326,0.00299,0.05088,0.02698,0.04371,0.00269,0.09530,0.02804,
0.05080,0.02678,0.04360,0.00181,0.05111,0.02694,0.04371,0.00244,0.05141,0.02636,0.04328,0.00284,0.05091,0.02691,0.04376,0.00215,0.09526,0.02810,
